2012-10-30 13:06:17 - PHP Notice:  Error: Could not load template /home/opencart/www/admin/view/template/../../../../catalog/view/theme/default/template/mail/voucher.tpl! in /home/opencart/www/system/library/template.php on line 21
2012-10-30 13:06:22 - PHP Notice:  Error: Could not load template /home/opencart/www/admin/view/template/../../../../catalog/view/theme/default/template/mail/voucher.tpl! in /home/opencart/www/system/library/template.php on line 21
2012-10-30 13:26:09 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '101') GROUP BY p.product_id ORDER BY rating DESC in /home/opencart/www/system/database/mysql.php on line 49
2012-10-30 13:56:35 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '68') GROUP BY p.product_id ORDER BY rating ASC in /home/opencart/www/system/database/mysql.php on line 49
2012-10-30 14:10:50 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '98' OR p2c.category_id = '97' OR p2c.category_id = '96' OR p2c.category_id = '94') GROUP BY p.product_id ORDER BY rating DESC in /home/opencart/www/system/database/mysql.php on line 49
2012-10-30 16:06:55 - PHP Notice:  Undefined variable: text_remove in /home/opencart/www/catalog/view/theme/asquith/template/checkout/cart.tpl on line 69
2012-10-30 16:10:35 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 126
2012-10-30 16:10:35 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 127
2012-10-30 16:10:36 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 126
2012-10-30 16:10:36 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 127
2012-10-30 16:10:37 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 126
2012-10-30 16:10:37 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 127
2012-10-30 16:10:40 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 126
2012-10-30 16:10:40 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 127
2012-10-30 16:10:41 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 126
2012-10-30 16:10:41 - PHP Notice:  Undefined variable: voucher in /home/opencart/www/admin/model/sale/voucher.php on line 127
